,host_response_rate,availability_365,neighbourhood_group,host_is_superhost,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,amenities,instant_bookable,bathrooms
6191,100.0,218,Friedrichshain-Kreuzberg,t,Entire home/apt,5,Entire home/apt,2.0,2.0,50.0,25,97.0,22,f,1.0
6194,100.0,224,Mitte,t,Entire home/apt,3,Entire home/apt,1.0,2.0,55.0,75,100.0,17,f,1.0
6220,20.0,362,Lichtenberg,f,Entire home/apt,4,Entire home/apt,1.0,4.0,34.0,3,93.0,28,f,1.0
6224,100.0,295,Mitte,t,Entire home/apt,8,Entire home/apt,3.0,5.0,204.0,1,99.0,27,f,2.0
6226,100.0,139,Lichtenberg,t,Entire home/apt,3,Entire home/apt,1.0,2.0,48.0,4,98.0,28,f,1.0
6228,100.0,364,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,1.0,53.57,2,85.0,19,t,1.0
6231,100.0,128,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,170.0,6,97.0,27,f,2.5
6235,100.0,349,Mitte,f,Entire home/apt,6,Entire home/apt,2.0,3.0,85.0,3,89.0,21,f,1.0
6236,100.0,350,Mitte,f,Entire home/apt,7,Entire home/apt,2.0,4.0,63.0,3,88.0,20,f,1.0
6238,100.0,353,Mitte,t,Entire home/apt,6,Entire home/apt,1.0,4.0,75.0,4,98.0,27,t,1.0
6240,100.0,151,Reinickendorf,f,Entire home/apt,4,Entire home/apt,2.0,4.0,80.0,20,100.0,13,f,1.5
6249,100.0,352,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,4.0,55.0,3,93.0,25,t,1.0
6280,0.0,363,Neukölln,f,Private room,3,Private room,1.0,2.0,55.0,7,98.0,10,f,1.5
6288,100.0,363,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,72.0,1124,87.0,16,f,1.0
6291,99.0,107,Mitte,f,Private room,4,Private room,1.0,0.0,54.0,7,93.0,13,f,1.5
6295,0.0,363,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,2.0,2.0,145.0,5,100.0,25,f,1.0
6296,96.0,322,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,1.0,50.0,1,89.0,41,t,1.0
6299,99.0,107,Friedrichshain-Kreuzberg,f,Shared room,6,Shared room,1.0,0.0,45.0,1,90.0,12,f,0.0
6300,99.0,186,Mitte,f,Shared room,6,Shared room,1.0,0.0,13.0,1,89.0,13,t,0.0
6304,99.0,107,Friedrichshain-Kreuzberg,f,Shared room,6,Shared room,1.0,0.0,50.0,1,93.0,11,f,0.0
6305,0.0,364,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,300.0,2,100.0,25,f,1.0
6314,0.0,199,Pankow,f,Private room,3,Private room,1.0,2.0,42.0,3,93.0,18,f,0.0
6326,89.0,110,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,1.0,82.0,5,100.0,7,f,1.0
6332,100.0,350,Mitte,t,Entire home/apt,5,Entire home/apt,2.0,4.0,75.0,4,96.0,34,t,1.0
6334,100.0,89,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,146.0,2,90.0,23,f,1.0
6338,0.0,139,Pankow,f,Entire home/apt,3,Entire home/apt,2.0,2.0,95.0,3,87.0,12,t,1.0
6341,0.0,289,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,2.0,3.0,30.0,5,97.0,24,f,1.5
6350,100.0,162,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,5.0,91.0,2,92.0,16,t,1.0
6359,0.0,78,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,1.0,65.0,60,100.0,26,f,1.5
6363,100.0,331,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,100.0,2,88.0,25,t,1.0
6372,0.0,78,Pankow,t,Private room,4,Private room,1.0,1.0,65.0,3,98.0,37,f,1.5
6374,0.0,257,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,2.0,0.0,80.0,1,99.0,24,f,1.0
6381,100.0,90,Pankow,f,Private room,3,Private room,1.0,2.0,45.0,1,100.0,33,f,0.0
6384,0.0,33,Friedrichshain-Kreuzberg,f,Private room,3,Private room,1.0,1.0,35.0,3,92.0,8,f,1.0
6392,100.0,289,Mitte,t,Entire home/apt,9,Entire home/apt,3.0,6.0,200.0,2,97.0,20,t,0.0
6395,78.0,71,Tempelhof - Schöneberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,49.0,1,85.0,23,f,1.0
6399,100.0,364,Steglitz - Zehlendorf,f,Entire home/apt,5,Entire home/apt,2.0,4.0,85.0,5,95.0,18,f,1.0
6418,0.0,179,Neukölln,f,Entire home/apt,5,Entire home/apt,2.0,2.0,125.0,2,100.0,14,f,1.0
6421,100.0,353,Pankow,f,Entire home/apt,6,Entire home/apt,2.0,3.0,104.0,1,90.0,27,f,1.0
6433,100.0,107,Mitte,t,Entire home/apt,8,Entire home/apt,4.0,4.0,119.0,4,100.0,11,f,1.0
6446,0.0,322,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,82.0,2,91.0,12,f,1.0
6450,0.0,272,Tempelhof - Schöneberg,t,Entire home/apt,4,Entire home/apt,2.0,2.0,115.0,3,100.0,36,f,1.0
6451,0.0,256,Treptow - Köpenick,f,Entire home/apt,6,Entire home/apt,2.0,3.0,89.0,6,100.0,15,f,2.0
6470,0.0,228,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,3.0,3.0,119.0,3,0.0,23,f,1.5
6480,100.0,347,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,103.0,3,88.0,16,t,1.0
6487,100.0,68,Pankow,t,Entire home/apt,4,Entire home/apt,1.0,1.0,110.0,3,99.0,25,t,1.0
6496,100.0,297,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,86.0,60,100.0,27,f,1.5
6500,100.0,49,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,3.0,65.0,2,100.0,12,f,1.5
6507,100.0,291,Pankow,t,Entire home/apt,6,Entire home/apt,3.0,3.0,189.0,4,98.0,31,f,2.0
6514,100.0,347,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,2.0,72.0,3,90.0,24,f,1.0
6519,0.0,171,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,2.0,2.0,130.0,3,96.0,13,f,2.0
6526,0.0,364,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,1.0,86.0,1,96.0,28,f,1.0
6531,100.0,170,Pankow,t,Entire home/apt,4,Entire home/apt,2.0,2.0,110.0,7,97.0,31,f,1.0
6544,100.0,358,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,1.0,80.0,1,97.0,31,f,1.0
6555,100.0,182,Mitte,t,Entire home/apt,7,Entire home/apt,3.0,6.0,190.0,4,98.0,23,f,2.0
6558,97.0,328,Mitte,f,Entire home/apt,5,Entire home/apt,2.0,5.0,42.0,23,100.0,4,f,1.0
6560,100.0,321,Neukölln,t,Private room,3,Private room,1.0,1.0,32.0,2,99.0,29,f,0.0
6561,100.0,352,Tempelhof - Schöneberg,t,Entire home/apt,3,Entire home/apt,1.0,2.0,75.0,10,98.0,24,t,1.0
6562,100.0,341,Pankow,f,Entire home/apt,6,Entire home/apt,1.0,1.0,59.0,1,92.0,47,f,1.0
6564,100.0,357,Pankow,t,Entire home/apt,4,Entire home/apt,1.0,2.0,61.0,1,94.0,42,f,1.0
6566,0.0,341,Treptow - Köpenick,f,Entire home/apt,4,Entire home/apt,2.0,2.0,90.0,3,100.0,17,t,1.0
6567,100.0,323,Neukölln,f,Entire home/apt,4,Entire home/apt,2.0,3.0,56.0,2,94.0,9,t,1.0
6570,0.0,355,Mitte,t,Entire home/apt,6,Entire home/apt,3.0,6.0,199.0,3,98.0,38,f,1.5
6576,100.0,84,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,2.0,100.0,2,100.0,8,f,1.0
6577,0.0,179,Neukölln,f,Private room,14,Private room,2.0,8.0,181.0,2,96.0,28,f,2.5
6595,67.0,87,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,76.0,4,95.0,16,f,1.5
6598,0.0,194,Friedrichshain-Kreuzberg,t,Entire home/apt,5,Entire home/apt,1.0,1.0,125.0,2,98.0,26,t,1.0
6606,100.0,365,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,1.0,3.0,90.0,4,87.0,12,f,1.0
6618,100.0,155,Mitte,t,Entire home/apt,4,Entire home/apt,2.0,5.0,115.0,4,98.0,33,f,2.0
6642,100.0,321,Mitte,t,Entire home/apt,5,Entire home/apt,1.0,3.0,85.0,7,95.0,17,f,1.0
6645,0.0,262,Pankow,t,Entire home/apt,6,Entire home/apt,3.0,6.0,229.0,3,97.0,22,f,2.0
6650,100.0,354,Steglitz - Zehlendorf,t,Entire home/apt,5,Entire home/apt,1.0,5.0,85.0,2,99.0,24,t,1.0
6652,0.0,178,Treptow - Köpenick,f,Shared room,4,Shared room,1.0,3.0,40.0,30,0.0,11,f,0.0
6659,100.0,320,Mitte,t,Entire home/apt,4,Entire home/apt,1.0,3.0,85.0,7,90.0,18,f,1.0
6660,100.0,321,Mitte,t,Entire home/apt,4,Entire home/apt,1.0,2.0,85.0,7,96.0,16,f,1.0
6664,0.0,292,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,2.0,62.0,2,100.0,17,t,1.0
6673,100.0,331,Mitte,t,Entire home/apt,12,Entire home/apt,5.0,7.0,192.0,1,98.0,27,f,2.0
6678,0.0,365,Mitte,f,Entire home/apt,3,Entire home/apt,3.0,3.0,265.0,7,0.0,9,t,1.0
6679,100.0,353,Mitte,t,Entire home/apt,8,Entire home/apt,3.0,5.0,193.0,1,96.0,26,f,1.0
6681,100.0,171,Charlottenburg-Wilm.,f,Shared room,8,Shared room,1.0,8.0,24.0,1,89.0,20,f,0.0
6683,100.0,36,Mitte,t,Private room,3,Private room,1.0,1.0,30.0,3,98.0,10,t,0.0
6689,100.0,349,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,42.0,2,95.0,32,t,1.0
6693,100.0,64,Mitte,t,Entire home/apt,11,Entire home/apt,3.0,4.0,149.0,2,98.0,20,t,1.0
6695,100.0,103,Neukölln,t,Entire home/apt,6,Entire home/apt,3.0,4.0,225.0,3,97.0,29,f,2.0
6696,100.0,140,Neukölln,t,Entire home/apt,6,Entire home/apt,3.0,4.0,239.0,4,99.0,26,f,2.0
6698,100.0,57,Mitte,t,Entire home/apt,10,Entire home/apt,2.0,5.0,103.0,2,99.0,34,t,1.0
6702,100.0,59,Mitte,t,Entire home/apt,11,Entire home/apt,3.0,6.0,161.0,2,99.0,35,t,1.0
6703,100.0,52,Mitte,t,Entire home/apt,10,Entire home/apt,2.0,5.0,109.0,2,99.0,34,t,1.0
6707,100.0,180,Neukölln,t,Private room,3,Private room,1.0,1.0,40.0,14,94.0,14,f,0.0
6708,0.0,163,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,2.0,30.0,7,96.0,19,f,1.0
6714,60.0,42,Pankow,f,Entire home/apt,3,Entire home/apt,2.0,1.0,85.0,28,100.0,6,f,1.0
6719,97.0,246,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,40.0,30,82.0,8,f,1.0
6721,100.0,67,Mitte,t,Entire home/apt,12,Entire home/apt,3.0,6.0,104.0,2,99.0,34,t,1.0
6723,100.0,337,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,1.0,107.0,1,97.0,19,f,1.0
6730,86.0,365,Pankow,f,Entire home/apt,7,Entire home/apt,2.0,3.0,100.0,1,87.0,7,f,1.0
6732,86.0,54,Pankow,f,Entire home/apt,5,Entire home/apt,1.0,4.0,80.0,1,94.0,7,f,1.0
6735,86.0,364,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,70.0,1,92.0,9,f,1.0
6736,86.0,364,Pankow,f,Entire home/apt,5,Entire home/apt,2.0,4.0,100.0,1,91.0,8,f,1.0
6737,86.0,261,Pankow,f,Entire home/apt,5,Entire home/apt,1.0,4.0,75.0,1,89.0,8,f,1.0
6738,86.0,289,Pankow,f,Entire home/apt,6,Entire home/apt,2.0,5.0,110.0,1,93.0,11,f,1.0
6739,86.0,272,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,75.0,1,91.0,7,f,1.0
6740,100.0,78,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,2.0,4.0,120.0,2,97.0,10,f,1.0
6744,100.0,321,Spandau,f,Entire home/apt,3,Entire home/apt,1.0,3.0,30.0,30,73.0,19,f,1.0
6747,100.0,100,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,61.0,4,95.0,17,t,1.0
6748,100.0,51,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,1.0,89.0,4,91.0,34,f,1.0
6755,86.0,230,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,3.0,90.0,2,94.0,8,f,1.0
6763,100.0,76,Neukölln,f,Entire home/apt,4,Entire home/apt,2.0,2.0,66.0,2,95.0,31,f,1.0
6782,0.0,170,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,65.0,60,100.0,26,f,1.0
6802,100.0,66,Pankow,f,Private room,4,Private room,1.0,2.0,68.0,7,91.0,12,t,0.0
6806,100.0,365,Tempelhof - Schöneberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,105.0,1,100.0,8,f,1.0
6807,100.0,343,Friedrichshain-Kreuzberg,f,Entire home/apt,6,Entire home/apt,3.0,4.0,150.0,4,99.0,14,f,1.0
6823,100.0,87,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,75.0,2,96.0,7,f,1.0
6829,0.0,320,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,90.0,2,90.0,7,f,1.0
6837,0.0,84,Neukölln,f,Entire home/apt,6,Entire home/apt,3.0,1.0,90.0,7,100.0,13,f,2.0
6839,99.0,107,Mitte,f,Shared room,6,Shared room,1.0,0.0,42.0,1,91.0,13,f,0.0
6843,98.0,175,Mitte,f,Entire home/apt,6,Entire home/apt,2.0,4.0,80.0,1,80.0,25,f,1.5
6850,90.0,130,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,2.0,149.0,7,91.0,17,t,1.5
6855,100.0,66,Neukölln,f,Entire home/apt,4,Entire home/apt,1.0,2.0,79.0,2,95.0,27,t,1.0
6862,71.0,364,Neukölln,f,Entire home/apt,6,Entire home/apt,3.0,3.0,199.0,2,87.0,7,f,1.0
6865,0.0,364,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,3.0,1050.0,2,0.0,9,f,1.0
6867,82.0,365,Friedrichshain-Kreuzberg,f,Private room,5,Private room,3.0,5.0,35.29,3,91.0,16,t,0.0
6869,100.0,77,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,2.0,34.0,60,0.0,15,t,1.0
6874,60.0,49,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,1.0,2.0,42.0,2,92.0,13,f,1.0
6875,100.0,186,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,0.0,99.0,2,98.0,30,f,1.0
6884,100.0,36,Pankow,t,Entire home/apt,3,Entire home/apt,1.0,2.0,50.0,1,86.0,21,f,1.0
6886,0.0,352,Charlottenburg-Wilm.,f,Entire home/apt,5,Entire home/apt,4.0,4.0,320.0,2,100.0,14,f,2.0
6887,100.0,101,Mitte,f,Entire home/apt,12,Entire home/apt,3.0,6.0,148.0,1,91.0,29,t,1.5
6893,0.0,111,Treptow - Köpenick,f,Entire home/apt,4,Entire home/apt,2.0,3.0,90.0,5,100.0,27,t,1.0
6898,100.0,289,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,2.0,2.0,52.0,120,0.0,21,f,1.0
6899,100.0,343,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,3.0,98.0,2,97.0,19,t,1.0
6900,100.0,45,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,1.0,70.0,4,96.0,20,f,1.0
6913,97.0,171,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,2.0,2.0,42.0,30,86.0,9,f,1.0
6917,98.0,162,Friedrichshain-Kreuzberg,f,Entire home/apt,7,Entire home/apt,3.0,3.0,87.43,1,81.0,17,f,1.0
6923,100.0,359,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,2.0,4.0,62.0,3,90.0,19,t,1.0
6932,100.0,364,Mitte,f,Shared room,4,Shared room,1.0,4.0,17.0,2,84.0,20,f,0.0
6939,0.0,361,Lichtenberg,f,Private room,3,Private room,1.0,1.0,35.0,2,97.0,10,f,0.0
6940,100.0,337,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,74.0,3,95.0,28,t,1.0
6944,0.0,275,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,3.0,2.0,49.0,304,100.0,19,f,1.0
6945,100.0,354,Charlottenburg-Wilm.,f,Private room,3,Private room,1.0,2.0,40.0,1,100.0,29,t,0.0
6947,100.0,347,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,3.0,94.0,2,98.0,21,t,1.0
6954,100.0,59,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,2.0,3.0,225.0,4,100.0,15,f,1.5
6955,100.0,335,Friedrichshain-Kreuzberg,t,Entire home/apt,6,Entire home/apt,1.0,4.0,148.0,2,96.0,21,t,1.5
6980,100.0,296,Tempelhof - Schöneberg,t,Entire home/apt,16,Entire home/apt,12.0,15.0,885.0,2,100.0,37,t,0.0
6986,100.0,352,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,3.0,98.0,2,97.0,15,t,1.0
6996,75.0,180,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,1.0,104.0,2,92.0,29,f,1.0
7003,100.0,58,Mitte,f,Entire home/apt,10,Entire home/apt,3.0,8.0,226.0,2,83.0,29,t,2.0
7005,100.0,53,Pankow,t,Entire home/apt,5,Entire home/apt,2.0,1.0,69.0,1,97.0,40,t,1.0
7007,100.0,117,Mitte,f,Entire home/apt,6,Entire home/apt,2.0,6.0,126.0,2,82.0,29,t,1.0
7014,100.0,69,Mitte,f,Entire home/apt,10,Entire home/apt,3.0,8.0,175.0,2,85.0,28,t,2.0
7015,100.0,76,Mitte,f,Entire home/apt,6,Entire home/apt,2.0,6.0,113.0,2,79.0,29,t,1.0
7017,100.0,70,Mitte,f,Entire home/apt,10,Entire home/apt,3.0,8.0,189.0,2,82.0,28,t,2.0
7018,100.0,329,Treptow - Köpenick,t,Entire home/apt,7,Entire home/apt,3.0,4.0,121.0,2,98.0,37,f,2.0
7019,100.0,239,Treptow - Köpenick,f,Entire home/apt,6,Entire home/apt,3.0,4.0,129.0,5,100.0,23,f,2.0
7023,100.0,233,Friedrichshain-Kreuzberg,t,Entire home/apt,3,Entire home/apt,1.0,2.0,48.0,61,100.0,37,t,1.0
7025,100.0,135,Mitte,t,Entire home/apt,6,Entire home/apt,2.0,4.0,139.0,3,97.0,17,f,1.0
7026,100.0,347,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,4.0,98.0,2,98.0,19,t,1.0
7030,0.0,283,Spandau,f,Entire home/apt,4,Entire home/apt,2.0,3.0,71.0,1,94.0,26,t,1.0
7032,92.0,361,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,2.0,50.0,2,88.0,17,t,1.0
7034,100.0,104,Mitte,t,Entire home/apt,4,Entire home/apt,2.0,2.0,150.0,6,100.0,14,f,1.0
7036,100.0,309,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,2.0,0.0,98.0,2,94.0,15,t,1.0
7041,0.0,288,Reinickendorf,f,Entire home/apt,4,Entire home/apt,1.0,1.0,55.0,8,100.0,29,f,1.5
7042,100.0,64,Treptow - Köpenick,t,Private room,3,Private room,1.0,2.0,34.0,3,98.0,24,f,0.0
7045,100.0,349,Pankow,f,Entire home/apt,5,Entire home/apt,2.0,2.0,58.0,4,85.0,9,f,1.0
7054,100.0,65,Mitte,f,Entire home/apt,8,Entire home/apt,2.0,4.0,110.0,2,80.0,29,t,1.0
7074,100.0,365,Charlottenburg-Wilm.,t,Entire home/apt,5,Entire home/apt,3.0,3.0,300.0,3,99.0,40,f,1.0
7076,0.0,291,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,76.0,3,80.0,10,f,1.0
7082,97.0,360,Mitte,f,Entire home/apt,16,Entire home/apt,5.0,11.0,207.0,1,89.0,28,t,1.5
7087,100.0,307,Treptow - Köpenick,f,Entire home/apt,5,Entire home/apt,2.0,6.0,90.0,2,88.0,40,f,2.0
7109,100.0,180,Mitte,t,Entire home/apt,3,Entire home/apt,1.0,3.0,109.0,3,97.0,24,f,1.0
7110,100.0,365,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,2.0,2.0,90.0,180,100.0,37,f,1.5
7113,0.0,47,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,1.0,60.0,3,98.0,31,f,1.0
7123,100.0,321,Spandau,f,Entire home/apt,6,Entire home/apt,2.0,4.0,41.0,30,0.0,13,f,2.0
7129,100.0,262,Mitte,t,Entire home/apt,3,Entire home/apt,1.0,2.0,39.0,89,100.0,34,f,1.0
7133,100.0,356,Mitte,f,Entire home/apt,6,Entire home/apt,3.0,4.0,285.0,2,91.0,15,t,2.0
7135,100.0,92,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,2.0,103.0,1,87.0,26,t,1.0
7137,100.0,365,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,2.0,89.0,2,0.0,11,f,1.0
7138,100.0,365,Friedrichshain-Kreuzberg,f,Entire home/apt,7,Entire home/apt,2.0,5.0,129.0,2,100.0,10,f,1.0
7139,100.0,365,Mitte,f,Entire home/apt,8,Entire home/apt,2.0,4.0,159.0,1,0.0,8,f,1.0
7140,100.0,365,Friedrichshain-Kreuzberg,f,Entire home/apt,6,Entire home/apt,2.0,6.0,119.0,2,0.0,10,f,1.0
7146,100.0,179,Mitte,t,Entire home/apt,3,Entire home/apt,1.0,3.0,103.0,3,97.0,15,f,1.0
7152,100.0,60,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,2.0,69.0,2,82.0,31,t,1.0
7156,100.0,333,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,2.0,75.0,2,82.0,29,t,1.0
7170,100.0,179,Mitte,t,Entire home/apt,4,Entire home/apt,2.0,4.0,117.0,3,94.0,21,f,1.0
7182,100.0,163,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,3.0,128.0,3,95.0,23,f,1.5
7183,100.0,335,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,2.0,2.0,135.0,2,97.0,26,f,1.0
7186,100.0,180,Pankow,f,Entire home/apt,6,Entire home/apt,1.0,1.0,99.0,3,97.0,28,t,1.0
7197,100.0,355,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,50.0,2,89.0,26,f,1.0
7201,100.0,358,Treptow - Köpenick,f,Entire home/apt,3,Entire home/apt,1.0,2.0,59.0,4,98.0,20,f,1.0
7205,100.0,76,Neukölln,f,Entire home/apt,8,Entire home/apt,3.0,5.0,125.0,3,94.0,28,t,1.0
7206,100.0,177,Tempelhof - Schöneberg,t,Entire home/apt,3,Entire home/apt,1.0,2.0,90.0,3,100.0,17,f,1.0
7210,100.0,351,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,4.0,98.0,2,98.0,19,t,1.0
7211,100.0,339,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,3.0,89.0,2,96.0,16,t,1.0
7214,0.0,358,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,3.0,190.0,5,100.0,18,f,2.5
7222,100.0,337,Friedrichshain-Kreuzberg,t,Entire home/apt,6,Entire home/apt,1.0,5.0,98.0,2,97.0,20,t,1.0
7225,100.0,158,Reinickendorf,f,Private room,4,Private room,2.0,3.0,33.0,2,96.0,46,t,0.0
7244,100.0,315,Spandau,f,Entire home/apt,4,Entire home/apt,2.0,4.0,38.0,30,90.0,20,f,1.0
7260,100.0,200,Friedrichshain-Kreuzberg,f,Entire home/apt,6,Entire home/apt,3.0,6.0,130.0,7,97.0,30,t,1.0
7270,100.0,330,Charlottenburg-Wilm.,f,Entire home/apt,5,Entire home/apt,2.0,2.0,193.0,2,95.0,24,t,1.0
7282,60.0,87,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,1.0,59.0,1,0.0,30,f,1.0
7293,100.0,259,Mitte,t,Entire home/apt,4,Entire home/apt,1.0,2.0,50.0,30,99.0,26,f,1.0
7298,100.0,359,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,4.0,72.0,3,89.0,19,t,1.0
7309,100.0,107,Neukölln,f,Entire home/apt,5,Entire home/apt,2.0,6.0,99.0,5,98.0,6,f,1.0
7333,100.0,301,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,3.0,55.0,13,90.0,34,t,1.0
7346,0.0,138,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,2.0,2.0,65.0,3,98.0,18,f,1.0
7347,90.0,69,Pankow,t,Entire home/apt,8,Entire home/apt,3.0,5.0,188.0,2,95.0,17,f,1.0
7349,100.0,307,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,1.0,37.0,2,89.0,13,t,1.5
7350,98.0,128,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,128.0,1,94.0,19,t,1.0
7354,98.0,114,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,133.0,1,91.0,16,t,1.0
7355,98.0,124,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,114.0,1,91.0,19,t,1.0
7360,100.0,314,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,1.0,47.0,2,94.0,19,t,1.0
7365,29.0,180,Mitte,f,Entire home/apt,3,Entire home/apt,3.0,2.0,240.0,2,95.0,31,t,2.0
7366,100.0,364,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,86.0,1,80.0,17,f,1.0
7374,98.0,126,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,129.0,1,93.0,19,t,1.0
7380,0.0,88,Marzahn - Hellersdorf,f,Private room,4,Private room,2.0,4.0,70.0,3,100.0,16,f,0.0
7381,100.0,31,Friedrichshain-Kreuzberg,t,Private room,3,Private room,1.0,2.0,31.0,2,100.0,35,t,0.0
7385,100.0,178,Mitte,t,Entire home/apt,4,Entire home/apt,2.0,2.0,200.0,3,98.0,11,f,2.0
7399,67.0,130,Steglitz - Zehlendorf,f,Entire home/apt,6,Entire home/apt,2.0,6.0,385.0,1,100.0,22,f,1.0
7411,100.0,297,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,3.0,85.0,1,87.0,9,f,1.0
7415,100.0,46,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,1.0,90.0,3,96.0,27,f,1.0
7418,98.0,131,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,164.0,1,96.0,19,t,1.0
7419,98.0,131,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,164.0,1,92.0,20,t,1.0
7420,98.0,128,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,172.14,1,96.0,20,t,1.0
