neighbourhood,neighbourhood_group,accommodates,room_type,bathrooms,bedrooms,beds,price,review_scores_rating,availability_365,instant_bookable
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Private room,0,1,3,35,91,276,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,5,Private room,0,1,4,30,92,92,f
Mierendorffplatz,Charlottenburg-Wilm.,4,Entire home/apt,0,1,3,65,96,304,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,2,3,50,87,237,f
Schloß Charlottenburg,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,55,56,360,t
Schloß Charlottenburg,Charlottenburg-Wilm.,3,Entire home/apt,1,1,3,45,76,360,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,56,88,135,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1,2,5,65,90,361,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,95,92,344,f
Lichtenrade,Tempelhof - Schöneberg,6,Entire home/apt,2,2,3,58,94,311,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,60,86,304,t
Buckow,Neukölln,4,Entire home/apt,1,1,2,55,98,292,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Private room,1,1,4,60,86,352,t
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,3,Shared room,0,1,3,17,85,332,t
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Shared room,0,1,4,16,94,357,t
Baumschulenweg,Treptow - Köpenick,4,Entire home/apt,1,1,3,85,95,171,f
Altglienicke,Treptow - Köpenick,3,Entire home/apt,1.5,2,1,45,95,321,f
Helmholtzplatz,Pankow,3,Entire home/apt,1,1,2,56,92,326,f
Halensee,Charlottenburg-Wilm.,8,Entire home/apt,2.5,2,8,125,96,309,f
Moabit Ost,Mitte,6,Entire home/apt,1,3,6,79,94,292,t
Helmholtzplatz,Pankow,4,Entire home/apt,1,2,3,159,96,335,t
Alexanderplatz,Mitte,3,Private room,1.5,3,0,100,94,361,f
Schöneberg-Nord,Tempelhof - Schöneberg,8,Entire home/apt,2,3,5,240,98,331,t
Halensee,Charlottenburg-Wilm.,3,Entire home/apt,1,2,4,44,93,258,f
Brunnenstr. Süd,Mitte,6,Entire home/apt,1,1,1,59,95,198,t
Prenzlauer Berg Ost,Pankow,4,Entire home/apt,1,1,2,53,90,336,t
Neuköllner Mitte/Zentrum,Neukölln,3,Private room,0,1,3,47,87,361,f
