neighbourhood,neighbourhood_group,accommodates,room_type,bathrooms,bedrooms,beds,price,review_scores_rating,availability_365,instant_bookable
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,3,130,95,365,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,3,114,94,363,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,2,2,2,130,100,259,f
Reuterstraße,Neukölln,3,Private room,0,1,2,51,100,364,f
Rixdorf,Neukölln,5,Entire home/apt,1,1,2,50,88,287,f
Parkviertel,Mitte,3,Private room,0,1,2,47,98,365,f
Moabit West,Mitte,3,Entire home/apt,1,1,2,90,89,345,f
Westend,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,62,95,196,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Private room,1,1,2,114,97,364,t
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,122,80,365,t
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,2,74,91,326,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,3,32,67,201,f
Prenzlauer Berg Ost,Pankow,4,Private room,1,1,2,35,98,364,f
Alexanderplatz,Mitte,6,Shared room,0,1,0,17,91,107,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Shared room,0,1,0,24,91,106,f
Regierungsviertel,Mitte,3,Entire home/apt,1,2,2,80,77,352,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,137,98,89,f
Alexanderplatz,Mitte,3,Entire home/apt,1,1,1,58,97,356,f
Brunnenstr. Nord,Mitte,3,Private room,0,1,3,43,92,323,f
Alexanderplatz,Mitte,4,Entire home/apt,1,1,2,119,97,342,f
Prenzlauer Berg Süd,Pankow,3,Private room,0,1,1,51,90,358,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Private room,2,1,2,91,89,63,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,99,100,350,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,8,Entire home/apt,2,3,4,321,97,326,f
Nord 1,Reinickendorf,3,Entire home/apt,1,1,2,50,94,171,f
Alexanderplatz,Mitte,4,Entire home/apt,1,2,3,150,0,88,f
Weißensee,Pankow,6,Entire home/apt,1,2,4,115,91,65,t
Alexanderplatz,Mitte,6,Shared room,0,1,0,18,90,107,f
Volkspark Wilmersdorf,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,45,98,232,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,2,104,99,334,f
Alexanderplatz,Mitte,4,Private room,0,1,0,55,87,108,f
Halensee,Charlottenburg-Wilm.,4,Entire home/apt,1,1,3,44,100,303,f
Friedrichshagen,Treptow - Köpenick,6,Entire home/apt,1,2,6,55,91,364,f
Helmholtzplatz,Pankow,9,Entire home/apt,1.5,3,4,185,97,336,t
Halensee,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,49,92,158,t
Prenzlauer Berg Südwest,Pankow,3,Private room,1.5,1,3,90,95,166,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,3,44,98,332,t
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,3,112,98,172,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,3,40,99,336,t
Brunnenstr. Süd,Mitte,6,Entire home/apt,2,2,2,220,95,365,f
Neu Lichtenberg,Lichtenberg,6,Entire home/apt,1,2,4,90,92,355,f
Reuterstraße,Neukölln,3,Entire home/apt,1,2,4,59,94,320,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1,2,2,160,0,325,f
Mahlsdorf,Marzahn - Hellersdorf,4,Entire home/apt,1,1,1,65,96,361,t
Rahnsdorf/Hessenwinkel,Treptow - Köpenick,3,Entire home/apt,1,2,2,100,100,53,t
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,2,2,137.14,93,81,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1,3,3,99,92,158,f
Prenzlauer Berg Süd,Pankow,3,Private room,1.5,1,2,50,96,140,t
Reuterstraße,Neukölln,14,Entire home/apt,2,5,7,369,91,358,t
Otto-Suhr-Allee,Charlottenburg-Wilm.,4,Entire home/apt,1,2,4,43,94,215,f
Mierendorffplatz,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,30,92,232,f
Ost 2,Reinickendorf,3,Entire home/apt,1,1,2,31,80,351,f
Schöneberg-Süd,Tempelhof - Schöneberg,4,Entire home/apt,2,2,2,71,96,241,t
Prenzlauer Berg Südwest,Pankow,8,Hotel room,2,4,4,467,100,303,t
Brunnenstr. Süd,Mitte,7,Entire home/apt,1,2,5,127,88,83,t
Wilhelmstadt,Spandau,4,Entire home/apt,1,2,4,37,90,346,f
Prenzlauer Berg Süd,Pankow,4,Entire home/apt,1,2,3,70,92,57,f
Teltower Damm,Steglitz - Zehlendorf,3,Entire home/apt,1,1,2,49,96,291,f
Regierungsviertel,Mitte,16,Private room,0,8,16,899,0,365,f
Otto-Suhr-Allee,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,48,92,270,t
Schöneberg-Nord,Tempelhof - Schöneberg,6,Entire home/apt,1,1,3,68,94,87,t
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,2,2,105,94,364,f
Schöneberg-Nord,Tempelhof - Schöneberg,6,Entire home/apt,1,2,3,80,86,57,t
Rudow,Neukölln,6,Entire home/apt,1,2,3,93,97,332,t
Friedenau,Tempelhof - Schöneberg,6,Entire home/apt,1,2,6,71,96,89,f
Tiergarten Süd,Mitte,5,Hotel room,1,1,5,84,77,87,t
Schöneberg-Nord,Tempelhof - Schöneberg,6,Entire home/apt,1,1,3,69,100,82,f
Regierungsviertel,Mitte,5,Entire home/apt,1,3,4,90,83,230,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,52,89,86,t
Brunnenstr. Süd,Mitte,8,Entire home/apt,1,3,6,116.36,88,90,t
Haselhorst,Spandau,5,Entire home/apt,1,2,5,220,100,200,t
Helmholtzplatz,Pankow,3,Entire home/apt,1,1,2,130,97,247,f
Alexanderplatz,Mitte,4,Entire home/apt,1.5,2,2,159,98,328,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,54,91,81,t
Prenzlauer Berg Süd,Pankow,3,Entire home/apt,1,1,2,120,100,358,t
Prenzlauer Berg Südwest,Pankow,10,Entire home/apt,2,4,6,240,88,54,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,55,90,152,f
Friedrichshagen,Treptow - Köpenick,6,Entire home/apt,2,3,4,70,91,292,f
Mariendorf,Tempelhof - Schöneberg,4,Entire home/apt,1,2,4,43,72,365,f
Düsseldorfer Straße,Charlottenburg-Wilm.,3,Entire home/apt,1.5,2,3,90,93,332,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,1,55,87,335,t
Prenzlauer Berg Südwest,Pankow,5,Entire home/apt,1,2,3,94,88,364,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Private room,0,1,2,50,97,47,t
Regierungsviertel,Mitte,4,Entire home/apt,1,1,2,150,91,124,t
Schmargendorf,Charlottenburg-Wilm.,3,Entire home/apt,1.5,2,0,250,80,358,f
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,2,2,49.15,93,340,t
Prenzlauer Berg Nord,Pankow,3,Entire home/apt,1,1,2,54,91,326,t
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,6,Shared room,0,1,6,20,92,105,f
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,2,4,84,86,365,f
Prenzlauer Berg Südwest,Pankow,6,Entire home/apt,1,1,3,100,94,78,t
Pankow Süd,Pankow,4,Entire home/apt,1.5,2,3,55,92,336,t
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,1,4,57,95,345,t
Buckow,Neukölln,6,Entire home/apt,1,2,3,79,96,351,f
Prenzlauer Berg Nord,Pankow,3,Entire home/apt,1,1,2,47,95,352,t
Prenzlauer Berg Nord,Pankow,3,Entire home/apt,1,1,3,48.4,96,315,t
Prenzlauer Berg Südwest,Pankow,5,Entire home/apt,1,1,3,60,92,81,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,5,79,83,269,t
Westend,Charlottenburg-Wilm.,4,Entire home/apt,1,1,0,59,97,345,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,5,Entire home/apt,1,2,3,120,95,48,f
Alexanderplatz,Mitte,6,Entire home/apt,0,3,3,140,99,91,f
Otto-Suhr-Allee,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,39,90,255,t
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,2,3,97,93,80,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,1,80,93,67,f
Alexanderplatz,Mitte,4,Entire home/apt,2,2,3,282,88,75,t
Prenzlauer Berg Südwest,Pankow,5,Entire home/apt,1.5,3,4,155,100,322,f
Alexanderplatz,Mitte,4,Entire home/apt,1,1,2,89,93,45,t
Nord 1,Reinickendorf,4,Entire home/apt,1.5,2,2,70,99,298,t
Neuköllner Mitte/Zentrum,Neukölln,6,Entire home/apt,1,2,5,120,95,96,f
Alexanderplatz,Mitte,9,Entire home/apt,1.5,2,6,100,95,346,f
Regierungsviertel,Mitte,6,Entire home/apt,1,3,4,180,88,350,t
Regierungsviertel,Mitte,6,Entire home/apt,1,3,5,95,74,344,f
Regierungsviertel,Mitte,4,Entire home/apt,1,2,4,85,96,353,f
Schöneberg-Süd,Tempelhof - Schöneberg,4,Entire home/apt,1,1,4,55,92,329,t
Schöneberg-Süd,Tempelhof - Schöneberg,8,Entire home/apt,1,2,6,102,95,101,f
Drakestr.,Steglitz - Zehlendorf,6,Entire home/apt,1,3,6,170,89,365,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,0,88,95,320,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,80,96,42,f
Reuterstraße,Neukölln,3,Entire home/apt,1,1,2,49,93,332,t
Alexanderplatz,Mitte,4,Entire home/apt,1,1,2,99,96,305,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,1,2,56,96,161,t
Drakestr.,Steglitz - Zehlendorf,4,Private room,2,1,4,95,0,365,f
Drakestr.,Steglitz - Zehlendorf,3,Private room,2,1,3,95,90,365,f
Prenzlauer Berg Süd,Pankow,4,Entire home/apt,1,1,1,89,98,78,t
Prenzlauer Berg Nord,Pankow,5,Entire home/apt,1,2,6,58,97,128,f
Ost 1,Reinickendorf,6,Entire home/apt,2,2,3,111,100,88,f
Reuterstraße,Neukölln,4,Entire home/apt,1,1,2,80,89,365,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,8,Shared room,0,1,0,17,91,107,f
Prenzlauer Berg Nord,Pankow,3,Private room,0,1,2,39,100,364,t
nördliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,60,95,233,f
Prenzlauer Berg Nordwest,Pankow,7,Entire home/apt,1,2,3,236,93,227,t
Alexanderplatz,Mitte,9,Entire home/apt,1,2,7,84,92,348,f
Frankfurter Allee Süd,Lichtenberg,5,Entire home/apt,1,1,3,82,97,82,f
Frankfurter Allee Süd,Lichtenberg,4,Entire home/apt,1,1,1,65,96,89,f
Prenzlauer Berg Nordwest,Pankow,5,Entire home/apt,2,3,5,140,99,34,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,4,125,89,349,f
Brunnenstr. Süd,Mitte,6,Entire home/apt,1.5,3,3,150,100,294,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,48,96,138,t
Frankfurter Allee Süd,Lichtenberg,4,Entire home/apt,1,1,2,65,96,89,f
Neu Lichtenberg,Lichtenberg,6,Entire home/apt,2,3,3,191,99,292,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,95,99,81,f
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,2,3,85,86,365,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,2,68,90,356,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,56,99,241,t
Prenzlauer Berg Nordwest,Pankow,3,Private room,0,1,3,79,91,289,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,51,93,173,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,64,95,186,t
Neuköllner Mitte/Zentrum,Neukölln,7,Entire home/apt,2,3,5,150,98,225,f
Reuterstraße,Neukölln,4,Private room,0,1,3,99,90,362,f
Schöneberg-Nord,Tempelhof - Schöneberg,6,Entire home/apt,1,1,3,67,95,190,t
Neue Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,2,1,100,95,49,t
Rudow,Neukölln,6,Private room,0,1,6,21,96,275,f
Helmholtzplatz,Pankow,4,Entire home/apt,1,1,4,59,96,118,t
Alexanderplatz,Mitte,4,Entire home/apt,1,1,2,115,96,78,f
Neue Kantstraße,Charlottenburg-Wilm.,5,Entire home/apt,1,2,3,99,88,291,f
Schloß Charlottenburg,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,120,60,342,t
Helmholtzplatz,Pankow,4,Entire home/apt,1,1,2,74,89,233,f
Alexanderplatz,Mitte,4,Entire home/apt,1,1,1,93,80,362,f
Barstraße,Charlottenburg-Wilm.,5,Entire home/apt,1,2,4,121,88,347,t
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,2,2,194,88,351,t
Schöneberg-Nord,Tempelhof - Schöneberg,4,Entire home/apt,1,1,1,90,95,344,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,3,140,97,331,t
Alexanderplatz,Mitte,6,Entire home/apt,2,3,4,143,91,333,t
Parkviertel,Mitte,3,Entire home/apt,1,1,3,31,91,305,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,1,2,65,89,78,t
Alexanderplatz,Mitte,4,Entire home/apt,1,1,1,96,91,67,t
Kaulsdorf,Marzahn - Hellersdorf,4,Entire home/apt,1,2,2,69,97,349,f
Prenzlauer Berg Südwest,Pankow,6,Entire home/apt,1.5,3,3,228,99,259,t
Schöneberg-Süd,Tempelhof - Schöneberg,4,Entire home/apt,1.5,2,2,60,100,214,f
Düsseldorfer Straße,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,45,91,118,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,62,94,84,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,63,95,57,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,52,94,84,t
Heerstrasse,Charlottenburg-Wilm.,4,Entire home/apt,1,1,1,250,100,347,f
Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,7,Entire home/apt,1,3,5,93,91,338,t
Alexanderplatz,Mitte,6,Entire home/apt,1,2,3,108,90,66,t
Nord 1,Reinickendorf,6,Entire home/apt,2,3,2,84,98,263,f
Alexanderplatz,Mitte,4,Entire home/apt,1,1,2,88,90,78,t
Neuköllner Mitte/Zentrum,Neukölln,4,Entire home/apt,1,1,2,80,99,173,f
Osloer Straße,Mitte,3,Entire home/apt,1,1,1,120,94,360,f
Barstraße,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,69,97,233,t
Alexanderplatz,Mitte,6,Entire home/apt,1,1,3,86,99,338,t
Neue Kantstraße,Charlottenburg-Wilm.,5,Entire home/apt,1,2,6,75,95,345,t
Charlottenburg Nord,Charlottenburg-Wilm.,3,Entire home/apt,1,1,1,42,100,138,f
Alexanderplatz,Mitte,7,Entire home/apt,1,3,3,240,96,344,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,1,80,95,156,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,10,Entire home/apt,1,3,10,166,88,360,f
Alexanderplatz,Mitte,5,Entire home/apt,2.5,2,2,157,95,329,t
Schöneberg-Nord,Tempelhof - Schöneberg,6,Entire home/apt,1,2,3,125,80,203,f
Prenzlauer Berg Südwest,Pankow,6,Entire home/apt,2,3,9,382.14,99,310,f
Schöneberg-Nord,Tempelhof - Schöneberg,6,Private room,0,1,6,39,90,160,f
Rixdorf,Neukölln,3,Private room,0,1,2,80,100,325,f
Helmholtzplatz,Pankow,4,Entire home/apt,1,1,2,115,95,349,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,3,60,85,263,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,50,86,341,t
Neuköllner Mitte/Zentrum,Neukölln,3,Entire home/apt,1,2,2,76,97,245,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,7,Entire home/apt,1,1,3,66,92,365,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1.5,2,3,106,98,339,f
Schöneberg-Nord,Tempelhof - Schöneberg,5,Private room,0,1,4,39,91,329,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Private room,0,1,2,35,90,334,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,65,96,85,t
Helmholtzplatz,Pankow,3,Entire home/apt,1,1,1,20,100,121,t
Buchholz,Pankow,3,Entire home/apt,0.5,1,3,60,98,291,f
Barstraße,Charlottenburg-Wilm.,3,Private room,0,1,2,70,94,88,f
Wedding Zentrum,Mitte,4,Entire home/apt,1,1,2,41,93,63,t
Schillerpromenade,Neukölln,8,Private room,2,2,7,168,87,65,f
Alexanderplatz,Mitte,9,Entire home/apt,1.5,2,8,99,95,348,f
Alexanderplatz,Mitte,6,Entire home/apt,1.5,2,6,202,84,46,f
Alexanderplatz,Mitte,8,Entire home/apt,1.5,3,8,158,89,173,f
Moabit West,Mitte,4,Entire home/apt,1,3,5,103,89,231,t
Alexanderplatz,Mitte,5,Entire home/apt,1,1,3,120,93,89,f
Alt-Hohenschönhausen Nord,Lichtenberg,5,Entire home/apt,1.5,3,4,285,95,363,f
Parkviertel,Mitte,3,Entire home/apt,1,1,1,31,94,365,f
Neuköllner Mitte/Zentrum,Neukölln,6,Private room,2,2,4,130,85,69,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1.5,2,2,127.86,98,106,f
Schillerpromenade,Neukölln,8,Private room,2,2,7,165,87,65,f
Rahnsdorf/Hessenwinkel,Treptow - Köpenick,4,Entire home/apt,1,1,4,75,97,356,t
Rixdorf,Neukölln,4,Entire home/apt,1,2,2,500,0,364,f
Tiergarten Süd,Mitte,3,Private room,0,1,2,50,89,345,f
Moabit West,Mitte,4,Entire home/apt,1,2,4,88.86,90,253,t
Moabit Ost,Mitte,6,Entire home/apt,1,3,3,67,86,361,t
Alexanderplatz,Mitte,9,Entire home/apt,1,2,8,85,92,342,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,2,25,98,109,f
Halensee,Charlottenburg-Wilm.,4,Entire home/apt,2.5,2,4,199,97,362,t
Zehlendorf  Südwest,Steglitz - Zehlendorf,4,Entire home/apt,1,2,3,82,98,93,f
Alexanderplatz,Mitte,6,Entire home/apt,1,2,5,108.57,94,56,t
Karlshorst,Lichtenberg,7,Entire home/apt,2,4,4,140,100,345,f
Alexanderplatz,Mitte,8,Entire home/apt,1.5,3,5,198,99,193,f
Neuköllner Mitte/Zentrum,Neukölln,3,Entire home/apt,1.5,2,2,85,98,285,f
Blankenburg/Heinersdorf/Märchenland,Pankow,4,Entire home/apt,1,1,3,55,96,73,f
Charlottenburg Nord,Charlottenburg-Wilm.,4,Private room,0,1,1,99,99,228,f
Regierungsviertel,Mitte,6,Entire home/apt,1,3,4,181,88,358,t
Regierungsviertel,Mitte,4,Entire home/apt,1,2,2,94,90,296,t
Regierungsviertel,Mitte,4,Entire home/apt,1,2,2,170,92,340,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Private room,0,1,2,55,97,322,t
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,79,92,289,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,53,90,321,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,4,51,89,339,t
Regierungsviertel,Mitte,6,Entire home/apt,1,3,4,149,91,293,t
Regierungsviertel,Mitte,4,Entire home/apt,2,3,2,300,89,288,f
Regierungsviertel,Mitte,4,Entire home/apt,1,2,3,103,90,362,t
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,2,76,93,179,t
Regierungsviertel,Mitte,4,Entire home/apt,1,2,0,119,94,343,t
Regierungsviertel,Mitte,6,Entire home/apt,1,3,0,240,91,346,t
Tempelhof,Tempelhof - Schöneberg,14,Entire home/apt,2,5,7,375,98,320,t
Alexanderplatz,Mitte,3,Entire home/apt,1,1,2,65,98,132,f
Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,6,Entire home/apt,1.5,2,4,140,99,83,t
Alexanderplatz,Mitte,6,Entire home/apt,1,3,4,161,97,192,f
Regierungsviertel,Mitte,6,Entire home/apt,1,3,5,150,90,358,t
Alexanderplatz,Mitte,6,Entire home/apt,1,3,4,168,97,199,f
Düsseldorfer Straße,Charlottenburg-Wilm.,5,Entire home/apt,1,1,3,33,87,113,t
Moabit West,Mitte,4,Entire home/apt,1,2,4,69,87,173,t
Parkviertel,Mitte,4,Entire home/apt,1,2,4,39,80,235,f
Frankfurter Allee Süd,Lichtenberg,13,Entire home/apt,0,3,7,295,98,56,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Private room,0,1,2,38,91,70,f
Prenzlauer Berg Ost,Pankow,4,Entire home/apt,1,2,3,76,99,31,f
Kurfürstendamm,Charlottenburg-Wilm.,4,Private room,1,1,1,30,0,261,f
Alexanderplatz,Mitte,6,Entire home/apt,1,3,4,129,97,171,f
Köllnische Heide,Neukölln,4,Entire home/apt,1,1,2,68,87,361,t
Alexanderplatz,Mitte,6,Entire home/apt,1,2,2,96,97,229,f
Alexanderplatz,Mitte,6,Entire home/apt,1,2,2,96,95,227,f
Alexanderplatz,Mitte,6,Entire home/apt,1,2,4,116,96,193,f
Kurfürstendamm,Charlottenburg-Wilm.,8,Entire home/apt,0,4,4,465,100,90,f
Köllnische Heide,Neukölln,4,Entire home/apt,1,1,0,80,92,299,t
Wedding Zentrum,Mitte,4,Private room,0,2,2,100,0,89,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,6,Entire home/apt,1,1,3,53,89,50,t
Tiergarten Süd,Mitte,4,Private room,0,1,3,60,94,32,t
Blankenfelde/Niederschönhausen,Pankow,5,Entire home/apt,1,3,5,85,97,293,f
Neuköllner Mitte/Zentrum,Neukölln,8,Entire home/apt,0,5,7,279,98,224,f
Westend,Charlottenburg-Wilm.,4,Entire home/apt,1,2,3,100,99,290,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,169,99,241,t
Nord 2,Reinickendorf,8,Entire home/apt,1,2,7,90,75,163,f
Moabit Ost,Mitte,3,Entire home/apt,1,1,1,43,95,303,t
Alexanderplatz,Mitte,4,Entire home/apt,1,1,3,220,90,180,t
Prenzlauer Berg Nord,Pankow,6,Entire home/apt,1,2,3,124,96,328,t
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,3,86,98,325,t
Regierungsviertel,Mitte,6,Entire home/apt,1,3,5,240,93,335,t
Köllnische Heide,Neukölln,4,Entire home/apt,1,1,2,70,92,361,t
Prenzlauer Berg Südwest,Pankow,3,Entire home/apt,1,1,3,90,97,230,f
Brunsbütteler Damm,Spandau,3,Entire home/apt,1,1,3,30,94,346,f
Drakestr.,Steglitz - Zehlendorf,4,Entire home/apt,1,2,2,71,94,365,f
Neue Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,72,96,292,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,92,95,325,t
Reuterstraße,Neukölln,4,Entire home/apt,1,2,3,115,97,360,f
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,1,3,54,88,349,t
Regierungsviertel,Mitte,6,Hotel room,1,1,1,66,60,364,t
Neuköllner Mitte/Zentrum,Neukölln,6,Private room,0,1,1,80,98,72,f
Baumschulenweg,Treptow - Köpenick,3,Entire home/apt,1,1,1,55,97,232,f
Prenzlauer Berg Nordwest,Pankow,4,Private room,0,1,2,26,98,348,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,4,Private room,0,1,0,29,100,294,f
Moabit Ost,Mitte,10,Entire home/apt,2,4,6,221,97,295,f
Moabit Ost,Mitte,8,Entire home/apt,2,3,5,203,99,315,f
Moabit Ost,Mitte,8,Entire home/apt,2,3,5,203,99,331,f
Schöneberg-Süd,Tempelhof - Schöneberg,9,Entire home/apt,1,2,8,142,94,339,f
Kurfürstendamm,Charlottenburg-Wilm.,4,Private room,0,1,4,169,100,362,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,76,94,93,t
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,2,2,100,90,269,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,75,88,291,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1,3,4,120,99,60,f
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,2,110,93,364,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,2,2,108,85,76,t
Regierungsviertel,Mitte,10,Private room,0,1,0,270,93,365,t
Weißensee,Pankow,4,Entire home/apt,1,2,2,60,98,351,f
Alexanderplatz,Mitte,3,Private room,0,3,2,100,95,365,f
Reuterstraße,Neukölln,4,Entire home/apt,1,2,2,107,97,297,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,3,Private room,0,2,2,65,98,292,t
Parkviertel,Mitte,6,Entire home/apt,1,2,3,42,90,140,f
Alexanderplatz,Mitte,3,Private room,0,1,1,56,96,228,t
Halensee,Charlottenburg-Wilm.,4,Entire home/apt,1,2,3,85,100,141,f
Neu Lichtenberg,Lichtenberg,4,Entire home/apt,1,1,2,59,91,359,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1,2,2,80,100,173,f
Tiergarten Süd,Mitte,15,Entire home/apt,2,4,9,150,95,308,t
Prenzlauer Berg Ost,Pankow,4,Entire home/apt,1,1,2,49,90,312,f
Moabit West,Mitte,4,Entire home/apt,1,3,5,129,91,153,t
Helmholtzplatz,Pankow,4,Entire home/apt,1,2,2,120,98,87,f
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1.5,1,2,49,92,162,t
Schöneberg-Nord,Tempelhof - Schöneberg,3,Entire home/apt,1,1,2,58,92,107,t
Neuköllner Mitte/Zentrum,Neukölln,4,Entire home/apt,1,2,2,70,93,179,f
Westend,Charlottenburg-Wilm.,5,Entire home/apt,1,2,3,64,97,167,f
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,2,3,87,95,261,f
